Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,K.Open,K.High,K.Low,K.Close,K.Volume,K.Adjusted,after.covid,after.war
01/10/2021,141.899994,153.169998,138.270004,149.800003,1565079200,148.491837,64.080002,64.889999,60.959999,61.299999,40964600,58.229458,YES,NO
01/11/2021,148.990005,165.699997,147.479996,165.300003,1691029000,163.856491,61.41,64.360001,60.970001,61.18,40589700,58.115463,YES,NO
01/12/2021,167.479996,182.130005,157.800003,177.570007,2444766700,176.27623,61.290001,66.330002,61.009998,64.419998,45829100,61.75396,YES,NO
01/01/2022,177.830002,182.940002,154.699997,174.779999,2108446000,173.506561,64.419998,67.809998,62.509998,63,47246600,60.392727,YES,NO
01/02/2022,174.009995,176.649994,152,165.119995,1627516300,163.916946,63,66.870003,61.130001,63.939999,56175900,61.293823,YES,NO
01/03/2022,164.699997,179.610001,150.100006,174.610001,2180800100,173.55864,63.77,66.57,59.540001,64.489998,56374500,62.371849,YES,YES
01/04/2022,174.029999,178.490005,155.380005,157.649994,1687795600,156.700745,64.760002,70.209999,64.139999,68.5,39233400,66.250137,YES,YES
01/05/2022,156.710007,166.479996,132.610001,148.839996,2401040300,147.943787,69.209999,75.559998,65.970001,69.739998,74876900,67.449402,YES,YES
01/06/2022,149.899994,151.740005,129.039993,136.720001,1749099800,136.096436,69.610001,72.089996,66.400002,71.339996,65730800,69.574905,YES,YES
01/07/2022,136.039993,163.630005,135.660004,162.509995,1447125400,161.768814,71.529999,74.389999,69.860001,73.919998,49601600,72.09108,YES,YES
01/08/2022,161.009995,176.149994,157.139999,157.220001,1510239600,156.50296,74,76.989998,72.160004,72.739998,46099900,70.940269,YES,YES
01/09/2022,156.639999,164.259995,138,138.199997,2084722800,137.760773,72.589996,74.32,69.5,69.660004,50605800,68.488503,YES,YES
01/10/2022,138.210007,157.5,134.369995,153.339996,1868139700,152.852676,70.07,77.169998,69.220001,76.82,39495000,75.528091,YES,YES
01/11/2022,155.080002,155.449997,134.380005,148.029999,1724847700,147.55954,76.410004,76.839996,68.010002,72.949997,57909300,71.723167,YES,YES
01/12/2022,148.210007,150.919998,125.870003,129.929993,1675657600,129.731918,73.120003,74.720001,70.099998,71.239998,37173500,70.617401,YES,YES
01/01/2023,130.279999,147.229996,124.169998,144.289993,1443652500,144.070023,71.080002,72.669998,66.68,68.580002,40534600,67.980652,YES,YES
01/02/2023,143.970001,157.380005,141.320007,147.410004,1307198900,147.185272,68.389999,69.470001,65.849998,65.940002,45527400,65.363724,YES,YES
